"Objeto";"Fecha";"Lugar emisión";"Lugar recepción";"Escribe a";"Recibe de";"año";"Texto de la carta"
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1453#";1/12/1804 0:00:00;"Gijón";"Bellver";;"Pedro García Argüelles";1804;"Perdida. Estaba entre los papeles de Fuertes Acevedo, leg. D.e.5. Somoza (Inventario, pág. 111) la resume así: «Detenido por el mal tiempo; deplora su suerte por su poca salud»."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1454#";5/12/1804 0:00:00;"Gijón";"Bellver";;"Josefa Jovellanos";1804;"Mi muy amado hermano: Recibo dos tuyas: la una parece retrasada y la otra lastimera. Sobre mi pasado insulto, ¿qué te diré, sino que de éste ni tú ni tus encargos tienen la culpa? Confieso, sí, que el último esfuerzo en traer a la hermana, cuyo viaje hube de disponer aceleradamente, y más que todo su vista, faltándome la tuya y sobrándome esta memoria, han aumentado no poco el estado de aflicción. Éste es tan antiguo, y aun más, que tu partida. Ésta y sus circunstancias pasmaron la sangre en términos que, a pesar de los esfuerzos de la parte superior, el 5 de aquel abril [me] rendí a la cama, y desde entonces han sido repetidos los ataques de pecho, de no menos peligro que el último; pero con repetidas sangrías que yo llamaba a prevención los fui superando, sin que llegasen a tu noticia ni aun a la de las personas que viven más cerca. En éste observé estar la sangre extremamente inflamada, lo que me obligó a llamar un facultativo, que me hizo cuidar de enferma; pasó, en fin, el peligro y en esta mañana le volví a llamar, a vista de ser más frecuente la fatiguilla, que ni rezar me permite; me dijo no había peligro próximo, pero sí la necesidad de no agitar poco ni mucho ni la mente ni el cuerpo, prohibiéndome hasta el rezo, todo lo que sencillamente te expongo para que salgas del cuidado en que te puso la primera noticia y veas la verdad con que te hablé en mis anteriores acerca de no poder continuar uno ni otro encargos, como prudentemente tú mismo me indicas, y en que quedamos, a menos que pudiere cooperar de algún modo a tu libertad; y, pues quedo a la sopa boba, para divertir mi bulliciosa imaginación te dirijo una estampa de mi Padre San Agustín, acordándome no sólo de que te consuelas con su vista, sino de la oportunidad con que el santo habla en uno de sus sermones sobre el salmo 18, donde dice: «la tribulación y la angustia me cercaron» y te pido tengas a bien esta muestra de amor. Por lo demás, yo debo estar prevenida a la muerte y tú a no sentirla, y en lugar de pedir a Dios mi conservación, pídele mi conversión, no olvidando no supe dejar el mundo hasta que me cansó su ruido, ni en el santo retiro acierto a negarme a mí misma ni a mis vanos discursos. Alcánzame, pues, el vencimiento, que tanta falta me hace, mientras pido para ti la salud, la constancia, tranquilidad y paz que Dios puede darte y te desea tu tierna amante hermana Sor Josefa de San Juan Bautista."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1455#";5/12/1804 0:00:00;"Bellver";"Tarragona";"Carlos González de Posada";;1804;"Señor don Patricio de Perán. Muy señor mío: Tentado estaba de empezar esta carta hablando de la etimología de su nuevo apellido. ¿Vendrá de Peramnem? Es posible, porque los interamnes (interamnium) de España y otras partes tienen el mismo origen. Es verdad que no hallo cerca río que pueda haberle dado este nombre; pero hay torrentes, y en esta significación se debe entender el ruunt de montibus amnes, de Virgilio, y otros parajes de autores de crédito. Pero por estas ideas habrá usted pasado tantas veces como por Perán. Vaya tras de él el adjetivo llucio de lucidus, por si no se ha puesto. Ítem, enguedeyar de vellus, el vellón, de donde velliculum y el plural vellicula; de donde los castellanos vedija y guedeja, y antes el asturiano guedeya, y los verbos enguedeyar y desenguedeyar; y allá va también su texto gijoniego: Vengo de San Llorienzo de la tierra,/  Voy para San Llorienzo de la mar./ Enguedeyéme, más enguedeyéme,/ Nunca me pude desenguedeyar. También llevará su texto la palabra papo, del latín pappus o pappula, en la significación de cosa hinchada. Tiene entre nosotros dos acepciones, y ambas derivadas del mismo origen. Primera, papo, el bocio o intumescencia que tienen los vaqueros (y montañeses que beben aguas níveas) en la garganta. Y papo, el carrillo o parte más prominente del rostro humano, a uno y otro lado de la boca. Uno en papo, y otro en saco, refrán equivalente a comer y guardar. ¿Y parafusa, no podrá venir de fusum (o fusa, el hilado) parare? Vea usted lo que se ofrece en el día. Pero cerraré esta parte de correspondencia dialéctica, rogando a usted que me diga si se ocupa en la colección general de todas las palabras de nuestro dialecto, porque será lástima no hacerlo así; y temo mucho le suceda lo que a mí, que por irme en pos de las etimologías despreciaba las palabras de origen incierto, sin reflexionar que el modo de aumentar el número de aquéllas es empezar por éstas, y que, siendo imposible averiguar las raíces de todas las palabras de una lengua, el mejor etimológicon debe admitir las de origen conjetural y aun las de origen incierto, dejando a la posteridad su determinación o averiguación. Tengo ansia de ver la carta del cura de Montuenga y su impugnación. La primera está cerca y luego la veré, si los ingleses la dejan pasar. Creo muy bien que la segunda arrastre la opinión hacia Astarloa, porque es fácil tener razón cuando se habla de materias que otros no entienden. Pero ésta merece ser estudiada, sin precipitar el juicio a una ni otra parte, porque en los argumentos de Astarloa se nota siempre el defecto de ser nimis probantes. A bien que, pues nuestros académicos están en el empeño, el pandero no cayó en malas manos. Celebro que usted haya visto al caballerito de la cruz verde. Yo hice un grande esfuerzo, saliendo de mi oscuridad, para que se la pusiese de balde, y no me pesa, pues se acuerda de mí. Siento mucho la muerte de nuestros amigos Concha y Candamo; pero más la de este último, porque aquél era viejo y llenó sus días, y éste sin duda valía más y podía hacer más bien a los suyos. De miserias públicas no hablemos, porque es quebrantar el corazón. El azote de la guerra vino a caer sobre los fuertes y ricos que se habían preservado de los de la peste y la penuria. ¡Qué guerra tan pérfida! ¡Ofrecer la neutralidad para que consumiésemos en ella los medios de defensa, y romperla sin declaración para robarnos el último fruto de aquella paz insidiosa! Pero esta violación atroz del derecho de gentes ya no moverá a las potencias de Europa, avezadas a no respetarle.... Mucho celebro que el buen pastor ande reconociendo el estado de sus rebaños; buen principio para honrar su cayado, como espero que hará. Celebro, en fin, que usted viva contento, como dice; por acá siguen los males y temores, sin novedad en bien ni en peor; pero sigue también la tranquilidad y el amor que profesa a usted su más afecto paisano y amigo Manuel Martínez Marina"
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1456#";19/12/1804 0:00:00;"Bellver";"Gijón";"Josefa Jovellanos";;1804;"Mi muy amada hermana: Tu carta de 15 del pasado me ha servido del mayor consuelo, pues aunque me da muy viva idea del deplorable estado a que redujo tu salud el último ataque, que la había puesto en tan extremo peligro, y del abatimiento de tu espíritu, en que tan fuertemente influyó, por fin me asegura de tu vida y me hace esperar que a fuerza de quietud y cuidado podrás reparar uno y otra y irte conservando y conservándome el mayor de los pocos consuelos que me han quedado en mi desgracia. Por lo mismo, te repito con el mayor encarecimiento el encargo hecho en mis antecedentes de que cuides sólo de tu salud y de ninguna otra cosa con respecto a mí, pues ella es la que me interesa sobre todo, y de lo demás que está pendiente iremos saliendo como Dios nos ayude. Con la misma carta he recibido la copia que te tenía pedida, y en otra de 19 del mismo mes la noticia de los precios de granos en los últimos años, que también deseaba. En ésta me pides que no te hable ya de negocios y insinúas el deseo de que nuestra correspondencia se reduzca a las noticias de salud que necesitamos para nuestro recíproco consuelo. Desde luego, te ofrezco que así será, porque vista la decadencia de la tuya, tal era también mi deseo, como tengo indicado, y por lo mismo, mientras nos sea permitido, éste será el asunto de mis cartas. Confío también que ya no habrá necesidad de hablar en ellas de intereses, puesto que habiéndote resuelto a suplicar humildemente a S.M. la restitución de mis papeles, si ésta se verificare, como espero de su Real piedad, ellos nos darán las luces y noticias que me faltan, y si S.M. no se dignare condescender a esta humilde y justa súplica, dispondré mis cosas y las demás que estaban a mi cargo como mejor pudiere y fiaré las resultas a la providencia de Dios, pues que en su santa voluntad y en la de mi buen Rey estoy perfectamente resignado. Por esto esperaré algunos días antes de hacer mi disposición, y si en el asunto me ocurriere algo me entenderé con la otra hermana. Ella se aconsejará con nuestros sobrinos, y pues tendrá el gusto de verte algunas veces buscará también tu consejo, que no le negarás si tu salud te permitiese oír de tales materias. Cuida, pues, solamente de tu vida y tus santas obligaciones, encomiéndame en la oración al Señor, en cuyas manos está la suerte de los infelices, como la de todos, y mira en qué puede complacerte este tu más amante hermano. P.D. Esta servirá también para nuestra Catuja, pues nada particular ocurre que decir a su carta, que recibí con las tuyas, ni, a la verdad, estoy yo para ello, porque ando estos días no poco quebrantado de mis ya sabidos achaques y afligido por la poca proporción de atender a la curación de ellos. Salúdala, pues, y cree que a entrambas ama de corazón Gaspar Melchor."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1457#";20/12/1804 0:00:00;"Bellver";"Tarragona";"Carlos González de Posada";;1804;"Muy señor mío y mi estimado señor Coyanca, o Coyanza, o Valencia de don Juan, que así consonará con Perán: Contesto a la favorecida de usted del 3, dándole las Pascuas ante todas cosas, para que no se pierda la buena costumbre de recordar tan santo tiempo en este calamitatis et miseriae, en que se olvida todo lo bueno, magar que haya tanta necesidad de volver los ojos al remedio de tanto malo. Y pase esta introducción miscelánea, que también lo es el asunto crítico, político, literato, moral de la carta de usted, tan gustosa en la lectura como lo es siempre la memoria de su autor. No se llevaron los ingleses ninguna carta de, ni para usted; pero, mal pecado, pudieron llevarse la descripción de un edificio gótico que iba al biógrafo de los artistas, trabajada con mucho cuidado y adornada de mil perendengues. No sé si la devolverían como toda la correspondencia que no valía dinero, ni cosa que lo valiese; pero temo que no, sin otra razón que el que no pueden hacer cosa buena, y al que está mal sentado todo le sale al revés. Por fortuna quedó el autógrafo, y sólo se perdió la xera. Otra carta mía andaba por allá cuando usted escribió, y creo que estará ya comida y digerida, porque los bocados que llevaba eran de aquellos que gustan a M. Perán. ¡Cuánto celebro que su sobrino proveza! ¡Y cuánto más que entrevere el dibujo con otros estudios serios! Que ser podría que su ejemplo animase a otros, y más si el señor maestro lo aprueba, que también hay buenos contagios en las letras, como malos en la salud. Pero no así celebro que el tío quiera dejar su silla. ¿Qué hará usted de ella y las de su clase si las rellena con los culos estúpidos y ociosos? Hay poco de sabio y literato y bueno entre nosotros; si lo aleja usted de los empleos y lo encierra en los gabinetes o entre los tumbos y pergaminos de los archivos, actum est de nobis. Bástanos que dediquen a las letras los ratos sobrantes, y más que sean pocos. Cuando hubiere redundante cosecha de sabios, entonces sí que se podría pensar en dejar algunos o muchos que cultiven tantos campos de ciencia y literatura como hay baldíos e incultos entre nosotros. Mas ¿cuándo rayará tan feliz día? A bien que si mi tío lograse hacer lo que piensa, no sólo lograremos un buen Diccionario, sino también una excelente historia de nuestro rincón. ¡Ah!, bien sé yo dónde duermen muchísimos y preciosísimos materiales, rebuscados por uno de aquellos de quienes usted dice que sólo trabajan para otros. La de usted me hace creer que mi coalumno el teniente está en la capital secular; mucho lo celebro, porque en la fuerza de la juventud tanto le conviene estar a la vista y sombra de un hombre respetable, como en un pueblo de medios y recursos para la instrucción. Baste por hoy, que en pena de que usted nada dice, nada quiero yo decir tampoco de nuestro amado dialecto. Concluyo con las noticias de salud, en que no hay novedad, y con el deseo de que usted se conserve bueno y robusto como apetece su afectísimo de corazón Juan de Piles."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1458#";26/12/1804 0:00:00;"Palma de Mallorca";"Bellver";;"Rafael Roselló";1804;"Perdida. Estaba entre los papeles de Fuertes Acevedo, leg. A.a.10. Somoza (Inventario, pág. 102) sólo dice: «Enviando carta»."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1636#";29/12/1804 0:00:00;"Bellver";"Gijón";"Catalina de Sena (hermana)";;1804;"Mi muy querida hermana: He recibido con muy particular consuelo tu carta de 15 del pasado, así por la resolución que me dices haber tomado de dejar tu casa de La Infiesta, como porque te hallas ya en la que nos vio nacer, disfrutando de buena salud, con el gusto de ver a tus parientes y antiguos conocidos, de quienes tanto tiempo estuviste desterrada. Yo espero en Dios que poco a poco irás conociendo por ti misma cuánto te conviene continuar en esa residencia y situación, y que así se conformarán tus deseos con los míos en un punto que me ha costado tanta inquietud antes de ahora. No te respondí el correo pasado, porque, escribiendo a nuestra monja, por ella habrás sabido del estado de mi salud, única materia de aquella carta. Hoy puedo decirte que no hay otra novedad que la de continuar la degradación de mi vista, dándome cada día mayor cuidado. Conozco que la lectura le es muy dañosa y, sin embargo, no me resuelvo a renunciar del todo a ella, no tanto por seguir mi afición y antigua costumbre, sino porque, encerrado en un cuarto y sin conocer otro entretenimiento que distraiga mi imaginación, ella es el único recreo que me queda para evitar el fastidio de la ociosidad y pasar el tiempo con menos amargura. Sin embargo, procuro abstenerme de ella en todos los momentos que puedo emplear en cualquiera otra ocupación. Aún estoy en la mayor inquietud por la salud de nuestra hermana, pues bien que sepa que se ha librado de su último ataque, temo que la debilidad en que la dejó, según lo que ella dice y las noticias que recibe Domingo, pongan su vida en peligro a la menor novedad que le sobrevenga. Por lo mismo, te ruego que la consueles y acompañes en cuanto puedas, que hagas que nada le falte de cuanto pueda contribuir a su alivio y, sobre todo, que procures se cuide mucho, pues recelo que su virtud y su espíritu la lleven a mayores esfuerzos de los que su débil constitución puede soportar; en fin, ofrécele mi tierna memoria con ésta, que servirá para entrambas, y tú, muy segura de mi cariño, manda cuanto quieras a tu más fino hermano Gaspar Melchor."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1638#";30/12/1804 0:00:00;"Bellver";"Tarragona";"Carlos González de Posada";;1804;"Muy señor mío y de mi mayor estimación: Ya que la guerra nos hace temer muchas interrupciones en nuestra correspondencia, no esperaré yo la respuesta a la carta que dirigí a usted el último correo para reparar una falta en que me hizo caer mi pobre memoria cuando formaba los apuntamientos para el Diccionario de Asturias. Recordómela estos días la lectura del artículo del marqués de Villena en la Biblioteca de traductores de Pellicer. Tenía yo en mis mamotretos noticia de que este famoso sabio había sido conde de Cangas y Tineo, y con ella algunas otras especies relativas a este señorío; pero el tiempo las había borrado, como otras muchas, de mi cabeza. Y pues que ahora hallo en Pellicer noticias más cumplidas de este conde, vayan aquí las que pueden llenar aquella falta, y se reducen: l.ª Que pues don Enrique de Aragón fue hijo de doña Juana Enríquez, hija natural de don Enrique II, habida en doña Elvira Íñiguez de la Vega, es claro que siendo aquélla hermana de padre y madre del famoso conde de Gijón don Alonso Enríquez, fue él sobrino carnal de este conde. Yo no sé si me atreva a añadir aquí una conjetura que callé en mis apuntamientos, porque no se atribuyese a vanidad o ligereza, pero que bullía munchayá en mi cabeza. Redúcese a que la tal doña Elvira Íñiguez de la Vega era de la casa de este nombre, de donde derivan los Garcilasos, cuyo solar, situado en las montañas de Santander, reconocí y veneré yo en uno de mis viajes en 1797, precisamente a tiempo que se estaba derribando la famosa torre de la Vega, que dio nombre a la familia y a la villa inmediata de Torrelavega (hacíase esta demolición de orden del actual duque del Infantado, señor de esta villa, para extender una fábrica provisional de tejidos de algodón). Ahora bien, es muy sabido que el condado de Gijón vino a don Enrique por muerte de don Rodrigo Álvarez de Asturias, su ayo y padre adoptivo, y que Gijón era el primer punto de su retirada en las revueltas que tuvo con el rey don Pedro, su hermano. A Gijón probablemente fue retirado también, aunque la crónica dice sólo a Asturias, el niño Garcilaso de la Vega, cuando aquel rey cruel estrenó sus estrangulaciones con la insidiosa muerte de su padre. ¿No podría ser, pues, que la tal doña Elvira, pues era de la casa de la Vega, fuese hija de algún Íñigo Laso de la Vega, parienta del niño Garcilaso, y que con él se hubiese retirado allí, y que allí hubiese tenido el conde don Enrique sus amores con esta señora, y que allí hubiesen nacido el famoso conde y su hermana Juana, la madre del marqués de Villena? ¡Soberbia pretensión, dirá usted! Tal la creo yo. Pero ¿qué aventuro en proponerla al juicio de usted, que como tan buen hurón de noticias recónditas podrá fácilmente confirmarla o desvanecerla? 2. ª Que cuando no por esto, a lo menos pertenecerá a la historia de Asturias el sabio marqués de Villena, por haber sido conde de Cangas y Tineo. Diole este señorío (que también perteneció a don Enrique II, por herencia del don Rodrigo citado) el rey don Enrique III, según afirma Zurita, citado por Pellicer. Mucho convendría descubrir el título de esta donación y averiguar su fecha, y aun saber si este señorío había pasado al marqués desde el conde de Gijón, su tío, que le obtuvo también, si no me engaño, pues que uno y otro pertenece a nuestra historia. 3. ª Este condado no permaneció en don Enrique de Villena sino hasta el 1404, pues que entonces se le hizo renunciar a favor de la corona, para evitar (dice el coronista de las Órdenes Militares, citado por Pellicer) que a su muerte recayese en la Orden de Calatrava, de que fue entonces elegido maestre, por la de don Gonzalo Núñez de Guzmán. Y aquí es de observar que, habiendo obtenido después este título los Quiñones, y siendo ya esta familia muy considerada y aun heredada en Asturias desde los reinados anteriores, es muy posible que por entonces se hubiese hecho gracia del condado a alguno de ella. Si así fuere, ya no será difícil formar una serie de los condes de Cangas en esta manera: primero (conocido), don Rodrigo Álvarez de las Asturias; segundo, don Enrique, conde de Trastámara, su hijo adoptivo; tercero, don Alfonso Enríquez, conde de Gijón, hijo natural de éste; cuarto, don Enrique III (o don Juan I), por confiscación de los bienes del conde de Gijón, su sobrino (o hermano natural); quinto, don Enrique de Aragón, marqués de Villena, sobrino carnal del conde de Gijón y nieto de Enrique II; sexto, don Enrique III, su primo; séptimo, don N. Quiñones. Lo demás queda a cargo de usted. Y pues me consta que tiene extractadas las noticias del pleito que tuvieron los Quiñones con la corona sobre este señorío, y que fue ejecutoriado en tiempo de los Reyes Católicos, así como algunas especies que ha de haber sobre esto en el famoso papel de Pastor sobre el vínculo regio, creo que estará en el camino real para completar cuanto falte a esta averiguación. Puede ser que haya dicho algo que no convenga con la historia de aquellos tiempos, o que ella desmienta, porque no tengo a la mano libros que consultar; pero no por eso serán inútiles mis conjeturas, porque pueden conducir al descubrimiento de alguna verdad. De todos modos, si usted creyese que pueden servir de algo a mi tío para su trabajo, sírvase usted de comunicárselas, y a mí las órdenes de su agrado, mientras me repito su más afecto paisano y servidor q. b. s. m. Juan de Piles."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1637#";29/12/1804 0:00:00;"Madrid";"Tarragona";;"José Rodríguez Argüelles";1804;"Perdida. Estaba en la Biblioteca de Fuertes Acevedo, leg. F.a.5. Somoza (Inventario, pág. 114) la extracta: «Sobre diligencias practicadas»."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1639#";2/1/1805 0:00:00;"Gijón";"Bellver";;"Josefa Jovellanos";1805;"Mi muy amado hermano: Recibo tu carta de 1. º de diciembre con una copia de 17 de noviembre, y ya, a la verdad, me daba algún cuidado la falta de carta tuya en tantas semanas. Pero gracias a Dios que en lo general de tu salud no hay novedad, esperando de su divina misericordia incline el piadoso ánimo de nuestro augusto soberano para permitirte cuanto convenga a la curación de tu vista y, como ya dije otra vez, nada creo fuese tan oportuno como el uso de las aguas que hay en nuestro Principado y a menos de cinco leguas de esta villa, que, como sabes, son Las Caldas y Fuente Santa. También me sirve de más tranquilidad y aun agradecimiento al bien que en ello me dispensas en la prudente resolución de traspasar a nuestra buena hermana cuanto reste que hacer en cumplimiento de tu voluntad, a cuyo efecto la pasé la que le escribes, que igualmente recibí, y espero de su noble corazón acceda a cuanto le insinúas, pues su mejor salud y situación, en que vive menos ligada, se lo permiten, teniendo en casa quien la dé todas las luces que puede necesitar. Y yo cuento ya con que en todo se haga cuanto dispongas, y al efecto te he dispensado en mis antecedentes todas las noticias que al último esfuerzo permitió mi apocada situación. Por ellas verás también que no sin justas causas me he exonerado de estos cuidados, que desde mi primera te dije no poder continuar, siendo cierto que no puedo dejar la celda y apenas la cama, pues habiéndolo hecho en las fiestas para la misa y sagrada comunión, al mediodía o antes tuve que volverme a ella; pero ni esto ni lo que me expones puede ser causa para que ni remotamente se piense en que la hermana entre aquí, a que en ningún caso accedería yo, pues, aunque por todas razones no debiera recusarlo, bastaría la de no contristar a la misma hermana, a quien amo, la que a su llegada, al verme en la portería tan desfigurada y el semblante extenuado, se contristó su ánimo, siendo esto antes del último insulto y, siguiendo desde él empeorada, ¿cuánto se interesaría? Dejémosla, pues, disfrutar su buena disposición y comience yo desde hoy a establecerme a la única medicina que probablemente me ha servido y me podrá dar alivio lo poco que reste de vida, y es el absoluto apartamiento de toda especie, asunto y ocupación, pues conservando ya sólo el hueso y la piel y pocas gotas de sangre requemada por mi perversa constitución, cualquiera acaloramiento, a que soy tan susceptible, y más tratando de servirte como tú mismo conoces, me haría un perjuicio que tú no quieres, bastando para mí las comunes miserias de la vida humana, tanto que cuando sobreviene cualquiera molestia de las que en la vida privada ocurren, sobrepone mi apocamiento, como me sucedió comenzando a respirar con tu indulto, y por otra parte, tocando siempre los extremos, los momentos que logro estar libre de toda especie que me domine y con un libro de mi gusto en las manos, ya en la cama, ya encogida junto a la estrecha ventana de la celda, donde sólo se ve el cielo y oye el ruido de algún pajarillo, soy tan feliz que no me cambio por todo el mundo; conque puedes consolarte, y conque nunca faltas de mi memoria para llevarte conmigo al trono de la gloria, pidiendo para ambos aquella misericordia que sola puede hacernos eternamente dichosos, pues aunque mis pecados no la merecen, tus sufrimientos me ayudarán a alcanzarla. Ayúdame gustoso a esta suerte, cuidando la hermana de darte y darme noticias de salud. Basta para una enferma. Conserve nuestro Señor tu tranquilidad y confianza en que gustoso te entregas en los brazos de su adorable Providencia. Me complazco en ellos y en que se cumpla en ti, en mí y en todo su santísima voluntad. Así se lo pido y que guarde tu vida muchos años. Tu tierna amante hermana Sor Josefa de San Juan Bautista"
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1640#";5/1/1805 0:00:00;"Gijón";"Bellver";;"Catalina de Sena (hermana)";1805;"Mi querido hermano: Por mi anterior estarás enterado de cómo sigo en tu casa muy bien hallada y asistida, aunque siempre con algunos recuerdos de aquella aldea, donde casi me hicieron connaturalizar los años de mi residencia. Esto me hace sentir algún tanto la impresión de estos vientos marinos; pero, sin embargo, disfruto una salud regular y espero que será mejor, queriendo Dios. Así la tuviera nuestra monja, no obstante que en el día logra alguna mejoría y nos da la esperanza de vencer la estación, que era el temor que teníamos al principio. En cuanto a acompañarla, como quieres, solicitando la licencia de entrada de este señor obispo, nada tenemos, pues que lo resiste la interesada. Yo no sé los motivos que tiene para ello, pero mientras no se venza, me parece excusado hacer la pretensión; por lo mismo quisiera ser capaz de ayudarte por mí sola en los graves encargos que ella desempeñaba, y si lo juzgas puedes confiar los que gustes, seguro de mi cariño y de lo que me penetra tu situación y la de nuestra casa. En cuanto a permanecer aquí, nada pienso en contrario por ahora, y te daré cuenta cuando tome otra resolución; pienso, sí, en recaudar mis alhajas y traerlas, como también en habilitar a nuestro sobrino para que ponga en buena administración mis alimentos y intereses de acciones; descuida, por consiguiente, estos puntos y atiende a tu salud, entretanto que la piedad de nuestro monarca te concede más anchura para poder recobrarla, como espero en Dios, a quien pide fervorosamente te conserve esta amante y tierna hermana. Tuya la de Sena Antonia Jovellanos."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1641#";7/1/1805 0:00:00;"Palma de Mallorca";"Bellver";;"Rafael Roselló";1805;"Perdida. Estaba en el archivo de Fuertes Acevedo, leg. A.a.11. Somoza (Inventario, pág. 102) la resume así: «Enviándole cartas a título de devolución»."
"#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=1642#";8/1/1805 0:00:00;"Bellver";"Gijón";"Josefa Jovellanos";;1805;"Mi muy querida hermana: Tu carta de 5 del pasado me hace ver que no fueron vanos mis temores por el estado de tu salud y que, aunque libre ya del peligroso trance en que te has hallado, no por eso podré vivir tranquilo en cuanto a ella. Pero me hace ver también que no sin razón te pedía yo en las mías que te cuidases mucho y te abstuvieses de toda fatiga, y particularmente que evitases la que te podrían dar mis tristes y molestos encargos, y así te repito, y muy encarecidamente, el que te tengo hecho sobre este punto, tanto más digno de tu atención, cuanto en él voy de acuerdo con lo que tus médicos y tus superiores te han mandado. Con esto podré esperar que cobres algunas fuerzas y vayas tirando, aunque con algún achaque, que en nuestra edad es muy difícil que falten, pues yo he cumplido ya 61 años y tú me vienes en zaga. De los míos te habrá informado Catuja, a quien escribí el correo anterior; después acá no ha habido novedad particular. Doite muy finas gracias por tu piadosa memoria, y saludando a la hermana con todo el corazón, quedo de entrambas afectísimo Gaspar Melchor."
