Objeto;Fecha;Lugaremisión;Lugarrecepción;Escribea;Recibede;año;Textodelacarta
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3208#;14/11/1790 0:00:00;Madrid;Gijón;;Antonio Capmany;1790;Muy señor mío: La Real Academia de la Historia recibió con fecha de 13 del próximo pasado un oficio en que se la recordaba, oído el dictamen del señor Fiscal, el breve despacho del informe que desde el año pasado de 1786 se le había encargado, relativo a los juegos, espectáculos y diversiones públicas que se usaron y practicaron en lo antiguo en las diversas provincias de España. Y como sobre este encargo, que entonces fue cometido a V.S. por la misma Academia, no haya tenido hasta ahora resulta alguna para contestar al Consejo, acordó la misma, como de su orden lo ejecuto, que se pregunte a V.S. en qué estado tenga o haya dejado el citado asunto, y lo demás que se le ofrezca exponer sobre ello, sirviéndose informar por mi mano a la Academia, a fin de que ésta pueda tomar la resolución que le parezca más oportuna en vista de lo que V.S. diga. Lo participo a V.S. para su inteligencia, ínterin ruego a Dios guarde su vida los muchos años de mi deseo. B. l. m. de V.S. su más afecto seguro servidor Antonio de Capmany.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3209#;18/11/1790 0:00:00;Gijón;Candás;Carlos González de Posada;;1790;"Mi amado Magistral: Estábamos hechos un veneno con usted, porque no vino ayer; ahora se ha convertido la cólera en amor y compasión. Yo sobre todo deseo su restablecimiento y venida. Fuera, pues, de males y mimos, y venga usted donde es deseado. No vino aún el poema, aunque Concha dice haberle enviado por el Administrador. Puede usted asegurar a Arango que se está examinando su Memoria en Madrid. No sé cuándo se irá el señor Pola. Cuídese usted, salude a mi nombre a su buen tío y a la hermana y a nuestro cura, y mande a su afectísimo G. M. de Jovellanos."
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3210#;2/12/1790 0:00:00;Londres;Gijón;;Marqués del Campo;1790;"Amigo y señor: Poco tiempo ha se me presentó Mr. T. Johns, patrón de un barco inglés, y me entregó un paquetito que contenía el libro de los dos Elogios, cuyo duplicado me había llegado antes, expresando con este motivo que se encargaría gustoso de lo que yo le diese para entregar a su regreso. Como no me venía carta ni orden alguna, y que ya yo había enviado a Bilbao, meses ha, un cajoncito con los libros que usted me había pedido, no comprendí bien este recado, pero poco después recibí por extraordinario un pliego de varias cartas que había estado detenido en París, y entre ellas hallé la estimada de usted de 9 de octubre, escrita en Gijón. Esto supuesto, vamos al grano. Me pone usted una lista de libros que desea, y respondo que por el citado cajón a Bilbao envié: Smith, Whealth of Nations; Ferguson's, Moral Philosophy; Burke, In the Sublime, etc... Ahora envío por el citado capitán, que vuelve a Asturias, los que se siguen: Moral and Political Dialogues, etc., by Dr. Hard; Letters on Rhetoric and Belles Letters, by Hugh Blair, y la Historia romana de Gibbon, que ni es cara ni barata. Y mediante prevenirme usted que para evitar cuentas en el aire, libre el importe de estas dos comisiones contra su apoderado en Madrid\'\', así lo haré, y espero igualmente que cuando yo pida algo de por allá, ejecute usted lo mismo con el mío, a quien nombraré a su tiempo. Deseo que le vaya a usted muy bien en la cara patria, en donde sin duda aprovechará su tiempo con utilidad pública. Yo me mantengo bueno, dando a Dios mil gracias del restablecimiento de la paz, que libra a los dos reinos de un millón de desgracias, por bien que hubieran ido las cosas. En verdad, celebraré que llegue el caso de dar usted la escapadilla por los mares con el debido permiso, y si se deja ver por acá, yo le prometo una buena temporada. Entretanto queda muy suyo de corazón Campo."
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3211#;29/12/1790 0:00:00;Gijón;Madrid;Antonio Capmany;;1790;Muy señor mío: En contestación al oficio de V.S. de 14 del pasado, dirijo a sus manos el adjunto informe, de que espero se sirva dar cuenta a la Academia, haciéndole presente no haberle podido despachar con más brevedad por falta de amanuense que copiase mi letra. Con este motivo me repito a la disposición de V.S., y ruego a nuestro Señor guarde su vida muchos años. B. l. m. de V.S. su más atento seguro servidor D. Gaspar de Jovellanos.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3264#;12/1/1791 0:00:00;Gijón;Madrid;Policarpo Sáenz de Tejada Hermoso;;1791;Muy señor mío: En contestación al oficio que a nombre de nuestra Real Sociedad se ha servido V.S. comunicarme con fecha de 12 del pasado, sólo puedo decir que a haberlo permitido mis viajes y ocupaciones, estuviera ya extendido el informe que me está cometido acerca de la formación de una nueva Ley Agraria, para el cual tengo ya establecidos los principios, formado el plan y reunidos los materiales convenientes, como alguna vez insinué a la misma Sociedad. Ahora puedo repetirle que jamás he perdido de vista este encargo, y que cuando quiera que me lo permitan los demás puestos a mi cuidado, me daré enteramente al desempeño de éste, de cuya importancia y urgencia estoy bien persuadido. Con este motivo me repito a la disposición de V.S. y ruego a nuestro Señor guarde su vida muchos años. B. l. m. de V.S. su más atento seguro servidor D. Gaspar de Jovellanos.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3266#;4/2/1791 0:00:00;Madrid;Gijón;;Antonio Capmany;1791;Muy señor mío: Di cuenta a la Academia del Informe sobre los espectáculos públicos, que V.S. ha trabajado y me remitió con su carta fecha en 29 de diciembre último, por mano del señor Director. Y habiéndose acordado que se leyese, lo ejecutó nuestro compañero el señor Vargas, con grandísima satisfacción de todos los oyentes y del señor Director, que la tuvo particular en la Junta de ayer, celebrando todos a una voz la elocuencia, la energía y la sana política y filosofía con que V.S. ha desempeñado un encargo tan arduo e importante en tan breve tiempo y falto de los auxilios que podía proporcionarle la corte. La Academia, muy complacida del esmero y acierto con que V.S. ha desempeñado su encargo, me manda darle en su nombre las más expresivas gracias, como lo ejecuto con especial satisfacción mía. Con este motivo me ofrezco a la disposición de V.S., rogando a Dios guarde su vida muchos años. B. l. m. de V.S. su más atento servidor Antonio de Capmany.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3267#;5/2/1791 0:00:00;Madrid;Gijón;;Duque de Almodóvar;1791;Desde ese país me ha hecho usted pasar uno de los mejores ratos de mi vida ayer tarde en nuestra Academia de la Historia, oyendo leer su excelente papel. Fue general y vivo el aplauso, y aun el mismo Director le acompañó solemnemente, bien que dudo fuesen muy de su gusto algunas especies que se tocan en los pliegos que se leyeron. No faltaré el viernes próximo a su continuación, que harto sentí no haberme hallado cuando se principió su lectura.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3270#;16/3/1791 0:00:00;Madrid;Gijón;;Marqués de la Hinojosa;1791;Muy señor mío: Al tiempo de verse en el Consejo el expediente de Visita del Colegio de la Orden de Calatrava ha tenido presente el de Plan de estudios de los Colegios de las Ordenes de Santiago y Alcántara, y en su inteligencia ha acordado se prevenga a V.S., como lo ejecuto, que, concluida la comisión en que está entendiendo, pase V.S. a Salamanca y ponga en ejecución lo resuelto por S.M. sobre el arreglo de estudios de los Colegios de Santiago y Alcántara. Dios guarde a V.S. muchos años. B. l. m. de V.S. su más afecto seguro servidor El Marqués de la Hinojosa.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3271#;16/3/1791 0:00:00;Madrid;Gijón;;Marqués de la Hinojosa;1791;"Muy señor mío: Se han visto en el Consejo las Visitas pública y secreta que, como Visitador general extraordinario, ha practicado V.S. en el Colegio de la Orden de Calatrava, con los informes que acerca de ellas ha hecho y el Reglamento que para el gobierno económico, institucional y literario del propio Colegio ha formado V.S. con arreglo al nuevo Plan de estudios aprobado por S.M.; al mismo tiempo ha tenido presentes el Consejo los expedientes unidos al de visita, suscitados, uno por el Rector Fr. don Francisco, etc., etc., etc. (son 6 expedientes). En inteligencia de todo ha venido el Consejo en aprobar ambas visitas y mandatos acordados en ellas por V.S. y el Reglamento en todas sus partes, etc., etc., etc. Lo que de orden del Consejo participo a V.S. para que lo tenga entendido, etc., etc. Dios guarde a V.S. muchos años. B. l. m. de V.S. su más afecto seguro servidor El Marqués de la Hinojosa."
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3273#;23/3/1791 0:00:00;Oviedo;Madrid;Marqués de la Hinojosa;;1791;Muy señor mío: Recibo el oficio de V.S. de 16 del corriente, en que de orden del Consejo se sirve avisarme la aprobación que se dignó hacer de la Visita del Colegio de Calatrava y nuevo Reglamento de economía, disciplina y estudios, formado para su gobierno ulterior, así como de las providencias que se sirvió tomar en todos los expedientes incidentes del principal y agregados a él. Puede V.S. asegurar al Consejo que quedo muy contento de haber acertado a servirle. Nuestro Señor guarde a V.S. muchos años. De V.S. su más atento seguro servidor D. Gaspar de Jovellanos.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3274#;23/3/1791 0:00:00;Oviedo;Madrid;Marqués de la Hinojosa;;1791;Muy señor mío: En oficio de 16 del corriente me previene V.S. de orden del Consejo que, concluida que sea la comisión en que estoy entendiendo, pase a Salamanca y ponga en ejecución lo resuelto por S.M. sobre el arreglo de estudios de los Colegios de Santiago y Alcántara. Puede V.S. asegurar al Consejo que así lo ejecutaré, partiendo de aquí en el momento en que se me permita y avisando antes, para que se me dirijan los despachos en la forma que juzgo más conveniente para el buen desempeño de aquel encargo. Nuestro Señor guarde a V.S. muchos años.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3275#;25/3/1791 0:00:00;Gijón;Candás;Carlos González de Posada;;1791;"Mi amado Magistral: Por fin usted se va, y con usted una de las personas que me hacían agradable la residencia de este país. Por mi fortuna aún quedan en ella bastantes para que no me sea ingrata, aun cuando me viese forzado a no dejarla jamás. No seré yo tan feliz que esto suceda, ni tan desgraciado que deje de tener el gusto de que nos reunamos allá más de una vez. Usted debe prolongar su partida del mar allende, y no descuidarse en los días que resida en Madrid, para evitarla si puede. Piense usted sólo en fijarse en el Continente, que para venir acá siempre habrá tiempo y proporción. Usted ha contraído grandes obligaciones con el público de sus paisanos, y para desempeñarlas no debe estar ni tan cerca ni tan lejos. Yo dejaré sin duda establecida en él la Academia de Buenas Letras, y usted tendrá su nombre en los primeros de la lista. Entretanto recomendaré a usted y sus deseos a los señores Acedo y Ribero; y pues el señor Gobernador le conoce y estima, y yo no estoy en el pie de escribirle, usted me excusará de otra carta. Si alguna otra fuere conducente, pídala usted. ¡Ah!... Al señor Duque de Almodóvar verá usted de mi parte, y yo le hablaré de usted en contestación a la primera que me escriba. Por mi tocayo Delgado recibirá usted una caja que debí tener ahí, pero llegó a tiempo de que con ella lleve usted una memoria de mi cariño. Cuente usted siempre con él, y mande a su siempre fiel y afectísimo amigo"
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3276#;13/4/1791 0:00:00;Gijón;Madrid;Carlos González de Posada;;1791;"Mi amado Magistral: Bien llegado y bien hallado. Acá todos, todos estamos buenos. Vino Sierra a Contrueces el 11, y con Peñalba y Llanos tuvimos allí los dos hermanos un día delicioso. Se acordó empezar el camino, y ya se trabaja en él. Los árboles van bellísimos: todos los que plantamos están presos, y hasta los de Aranjuez (vinieron quinientos) tienen las mejores señales. Discurra usted si estaré contento. Mucho celebraré que sea nuestro auxiliar el electo, porque hará buen prelado, y lo merece. Yo creí al principio que sería más fácil hacerle obispo de otra parte; pero si esto cuaja, es lo mejor y lo más seguro. Aproveche usted el tiempo, mi Magistral, y vea si puede sortear el paso del charco. A los paisanos y amigos mil finos recuerdos; recíbalos usted de Pachín y Gertrudis, y mande a su fino y afectísimo amigo Gaspar Melchor. P.D. Ya tronó aquel secreto, y no ha desagradado el enlace. ¡Bellaco, cómo la ha pegado usted a todo el mundo! Dicen que Pola había hecho consentir al golilla de marras."
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3278#;26/4/1791 0:00:00;Gijón;Madrid;Carlos González de Posada;;1791;"Mi amado Magistral: Sin razón se queja usted de la brevedad de mis cartas, pues que las he escrito en la mayor premura, cosa que no debe parecerle extraño, porque conoce mejor que nadie que aun en el tiempo de mayor quietud suelo hallarme lleno de pequeños quehaceres. Vería usted por mi última que íbamos a partir a Valdediós. ¡Qué días no pasamos allí! El archivo es riquísimo, y después de haber asegurado copia de un antiguo y excelente becerro, escrito en tiempo de San Fernando, se extractaron todos los privilegios concedidos por los reyes sucesores hasta los Católicos; con lo cual, lo que yo tenía antes, y nuevas observaciones sobre la arquitectura de los siglos X y XIII, a que pertenecen sus dos singularísimas iglesias, creo haber completado cuanto conduce a esta excelente fundación. ¡Ojalá pueda recoger en las demás de Asturias iguales noticias! Entonces ya se podrá pensar en formar una buena historia. El fuero de población de Siero ha sido una de las modernas adquisiciones. Mañana vamos a Luanco, oyendo antes misa en Candás, y siendo de la partida con los de casa don Pedro de Llanos y el prior de Peón. Tal vez don Sebastián de Posada y Antonín de Nava, que están aquí, querrán acompañarnos, y tal vez Peñalba y Balvidares, que marchó hoy a buscarle, vendrán también allí. Con ellos o sin ellos, esperamos pasar un par de días alegres. Siento que usted me haya prevenido sobre que vea a su tío, porque quisiera tener el mérito de hacerlo de mío, como lo hubiera hecho. Aun le instaré porque nos siga, para tratarle más despacio, y dar este gusto a Pola. ¡Cuánta falta nos hará usted, Magistral mío! ¡Y qué cantares no se pierden las nereides de Entromero y La Vaca que saldrían a escucharnos sobre la orilla! No estoy olvidado de nuestra Academia, pero sí muy desconfiado de entablarla en Oviedo, y inclinado a establecerla aquí. Como yo contaré con usted para todo, le avisaré a su tiempo de lo que se hiciere. Las instrucciones ya sabe que están a punto. Mucho celebro que usted haya repasado mi colección, que Dios querrá que reveamos juntos algún día. Ahora dispénseme usted que no escriba de mi puño, porque las comidas saladas y picantes de Valdediós, el polvo y las letras oscurecidas del archivo, y el sol del Curbiello y de Niévares, me han traído una fluxión a la boca que me incomoda bastante. Tengo dicho a usted que hallaría allá las recomendaciones de Almodóvar y Ribero, que están hechas muy anticipadamente. Si puedo, irá en ésta la de Cañada, y en todo tiempo y caso podrá usted contar con el afecto de su tierno y fino amigo Jovellanos. [P. D. de su puño]. ¡Es buena sandez la del sobrino! Dígame usted si ha visto al conde, cómo se halla y cómo se establece. ¿Si usted le ha visto, y cómo fue recibido? Va la carta para el de Cañada: léala usted, ciérrela y entréguesela, procurando verle despacio, y dígame después cómo le va con O. Vea usted a Almodóvar y a Ribero; no sea usted perezoso. Vigilantibus, et non dormientibus…"
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3279#;27/4/1791 0:00:00;Gijón;Madrid;José Acedo Rico (conde de la Cañada);;1791;Mi venerado amigo y favorecedor: Ni la larga ausencia interpuesta, ni los raros acaecimientos sucedidos después de nuestra última vista, han podido borrar el reconocimiento que profeso a las honras con que usted me ha distinguido siempre, ni deshacer la justa confianza que siempre he fundado en su favor y apreciable amistad. Ella me anima ahora a recomendar a usted muy eficazmente al portador de ésta, antiguo amigo de usted, y que lo es mío muy de veras, por cuyas circunstancias debe fundar mucha esperanza a la protección de usted, en quien la constancia en favorecer a sus amigos es una virtud generalmente confesada. Si a esto se agrega ser un hombre de mérito igualmente reconocido, el testimonio de su aplicación y virtuosa conducta, y finalmente el celo con que se ocupa muchos años [ha] en ilustrar la historia de Asturias, creo que tendrá cuanto baste para que usted se mueva a sacarle del destierro de Ibiza y colocarle de esta parte del mar en cosa proporcionada a su mérito y circunstancias. En esto tendré yo la mayor satisfacción, porque le amo muy de veras y conozco muy de cerca su mérito y recomendables prendas. Con este motivo no puedo dejar de decir a usted que yo sigo en este país tan bien hallado y tan gordo como podrá testificar el portador, que en medio de mi retiro trabajo por el público y por el país, y que no me olvido jamás de mis buenos y constantes amigos. Ruego a usted que con todo rendimiento ofrezca a los pies de mi señora doña Josefa el afecto de este su amigo, como también a mi señora doña Rafaela, y a toda la familia menuda, y que si me contemplase útil en alguna cosa, disponga y mande como puede a su más fino y fiel amigo y reconocido servidor Jovellanos.
#http://www.jovellanos2011.es/web/biblioteca-virtual-ficha/?cod=3280#;14/5/1791 0:00:00;Gijón;Madrid;Carlos González de Posada;;1791;"Mi amado magistral: Vuelve la necesidad de escribir a usted de puño ajeno, porque en la temporada que corre, y puede llamarse inverniza, he vuelto a resfriarme muy de veras, y estoy en la cama, en aquella disposición en que usted me veía las mañanas del último invierno, menos la mesa. Pero querrá Dios que ésta no sea indisposición de cuidado, pues sabe usted mi buena constitución, y que no la juego a la lotería. Cuando usted pondere las cosas de Candás, redúzcase a hablar de los medios relieves de Jesús y María que hay en la sacristía alta, y que a ser de autor español, digo, asturiano, no pueden pertenecer sino a Luis de la Vega. La manera es toda de Gregorio Fernández, y desafío a cualquiera inteligente que no los aprobase por suyos; de forma que si son de Vega, es preciso afirmar, no sólo que aprendió cuanto supo de Fernández, sino que llegó por su mismo estilo adonde su maestro. Sepa usted que ayer de madrugada arribó aquí el dichoso novio, y enviando sus cofres en un barco, resolvió volver a Candás por tierra. Comió con Reconco, y se fue sin ver a nadie, ni aquí supimos que hubiese venido hasta después. Lo gracioso es que precisado a irse, y no hallándose más que una caballería, se partió entre él y su compañero Fuertes (de Luanco e indiano), de forma que el hombre más opulento que nunca vio Candás tuvo que entrar en su patria de novio, mitad a pie y mitad a caballo, cosa que no daría poco que sufrir a mi buen magistral en las sobremesas del estrado viejo, si hubiese sucedido algunos meses ha. Vea usted si habremos vuelto ricos de Valdediós con proporción de sacar entera copia de su tumbo y con extractos de todos sus privilegios. Me ha escandalizado el pensamiento de dejar una canonjía y las proporciones que ésta da, por un establecimiento tan oscuro como precario. Usted, si acaso vuelve a Ibiza, debe ser por poco tiempo, y en esta parte estamos de acuerdo; pero volver la cabeza atrás no lo permite ni el Evangelio. Saque usted el partido que pueda de Cañada, Almodóvar y Ribero, y sobre todo de sus circunstancias, y no se tire a tierra, porque reñiremos. Tenía yo a usted por perezoso, mas no por tan cobarde. Yo no dudo que será obispo el auxiliar si no hay manejos escondidos. Las cartas de ahí dicen lo que se oye en la Puerta del Sol, y lo que se sueña por las esquinas, y de esto nada vale un pito. La Cámara, el ministro, la secretaría, todo está por el auxiliar. No hay más que una contingencia, y a Dios le toca dirigirla favorablemente; no seré yo el que menos lo celebre si sale lo que usted desea. Vuelva usted el crédito a Quiñones, que en su última carta me habla del auxiliar con singular elogio, y no creo de su política que, cuando sintiese otra cosa, se explicase en los términos que usted dice. Crea usted, amigo mío, que en todas partes se chismea. Nada más ocurre ni da de sí mi cabeza. Cuídese usted y mande a su fino y afectísimo amigo Jovellanos . El tío me ha regalado dos llagostas y otros pescados que he estimado mucho por lo que se roza con usted. Nos vimos y hablamos en Candás, y creímos tratarnos más despacio en Luanco, pero no lo permitió el tiempo. Me ha parecido un sacerdote venerable."
